Search_Parm,Resource,Search_Pram_Type,Expression
context-type-value,ConceptMap,composite,ConceptMap.useContext
context-type-value,GraphDefinition,composite,GraphDefinition.useContext
context-type-value,ImplementationGuide,composite,ImplementationGuide.useContext
context-type-value,MessageDefinition,composite,MessageDefinition.useContext
context-type-value,NamingSystem,composite,NamingSystem.useContext
context-type-value,OperationDefinition,composite,OperationDefinition.useContext
context-type-value,SearchParameter,composite,SearchParameter.useContext
context-type-value,StructureDefinition,composite,StructureDefinition.useContext
context-type-value,StructureMap,composite,StructureMap.useContext
context-type-value,TerminologyCapabilities,composite,TerminologyCapabilities.useContext
context-type-value,ValueSet,composite,ValueSet.useContext
activity-code,CarePlan,token,CarePlan.activity.detail.code
activity-date,CarePlan,date,CarePlan.activity.detail.scheduled
activity-reference,CarePlan,reference,CarePlan.activity.reference
based-on,CarePlan,reference,CarePlan.basedOn
care-team,CarePlan,reference,CarePlan.careTeam
category,CarePlan,token,CarePlan.category
condition,CarePlan,reference,CarePlan.addresses
encounter,CarePlan,reference,CarePlan.encounter
goal,CarePlan,reference,CarePlan.goal
instantiates-canonical,CarePlan,reference,CarePlan.instantiatesCanonical
instantiates-uri,CarePlan,uri,CarePlan.instantiatesUri
intent,CarePlan,token,CarePlan.intent
part-of,CarePlan,reference,CarePlan.partOf
performer,CarePlan,reference,CarePlan.activity.detail.performer
replaces,CarePlan,reference,CarePlan.replaces
status,CarePlan,token,CarePlan.status
subject,CarePlan,reference,CarePlan.subject
category,CareTeam,token,CareTeam.category
encounter,CareTeam,reference,CareTeam.encounter
participant,CareTeam,reference,CareTeam.participant.member
status,CareTeam,token,CareTeam.status
subject,CareTeam,reference,CareTeam.subject
account,ChargeItem,reference,ChargeItem.account
code,ChargeItem,token,ChargeItem.code
context,ChargeItem,reference,ChargeItem.context
entered-date,ChargeItem,date,ChargeItem.enteredDate
enterer,ChargeItem,reference,ChargeItem.enterer
factor-override,ChargeItem,number,ChargeItem.factorOverride
identifier,ChargeItem,token,ChargeItem.identifier
occurrence,ChargeItem,date,ChargeItem.occurrence
patient,ChargeItem,reference,ChargeItem.subject.where(resolve() is Patient)
performer-actor,ChargeItem,reference,ChargeItem.performer.actor
performer-function,ChargeItem,token,ChargeItem.performer.function
performing-organization,ChargeItem,reference,ChargeItem.performingOrganization
price-override,ChargeItem,quantity,ChargeItem.priceOverride
quantity,ChargeItem,quantity,ChargeItem.quantity
requesting-organization,ChargeItem,reference,ChargeItem.requestingOrganization
service,ChargeItem,reference,ChargeItem.service
subject,ChargeItem,reference,ChargeItem.subject
context,ChargeItemDefinition,token,
context-quantity,ChargeItemDefinition,quantity,
context-type,ChargeItemDefinition,token,ChargeItemDefinition.useContext.code
date,ChargeItemDefinition,date,ChargeItemDefinition.date
description,ChargeItemDefinition,string,ChargeItemDefinition.description
effective,ChargeItemDefinition,date,ChargeItemDefinition.effectivePeriod
identifier,ChargeItemDefinition,token,ChargeItemDefinition.identifier
jurisdiction,ChargeItemDefinition,token,ChargeItemDefinition.jurisdiction
publisher,ChargeItemDefinition,string,ChargeItemDefinition.publisher
status,ChargeItemDefinition,token,ChargeItemDefinition.status
title,ChargeItemDefinition,string,ChargeItemDefinition.title
url,ChargeItemDefinition,uri,ChargeItemDefinition.url
version,ChargeItemDefinition,token,ChargeItemDefinition.version
context-type-quantity,ChargeItemDefinition,composite,ChargeItemDefinition.useContext
context-type-value,ChargeItemDefinition,composite,ChargeItemDefinition.useContext
care-team,Claim,reference,Claim.careTeam.provider
created,Claim,date,Claim.created
detail-udi,Claim,reference,Claim.item.detail.udi
encounter,Claim,reference,Claim.item.encounter
enterer,Claim,reference,Claim.enterer
facility,Claim,reference,Claim.facility
identifier,Claim,token,Claim.identifier
insurer,Claim,reference,Claim.insurer
item-udi,Claim,reference,Claim.item.udi
patient,Claim,reference,Claim.patient
payee,Claim,reference,Claim.payee.party
priority,Claim,token,Claim.priority
procedure-udi,Claim,reference,Claim.procedure.udi
provider,Claim,reference,Claim.provider
status,Claim,token,Claim.status
subdetail-udi,Claim,reference,Claim.item.detail.subDetail.udi
use,Claim,token,Claim.use
created,ClaimResponse,date,ClaimResponse.created
disposition,ClaimResponse,string,ClaimResponse.disposition
identifier,ClaimResponse,token,ClaimResponse.identifier
insurer,ClaimResponse,reference,ClaimResponse.insurer
outcome,ClaimResponse,token,ClaimResponse.outcome
patient,ClaimResponse,reference,ClaimResponse.patient
payment-date,ClaimResponse,date,ClaimResponse.payment.date
request,ClaimResponse,reference,ClaimResponse.request
requestor,ClaimResponse,reference,ClaimResponse.requestor
status,ClaimResponse,token,ClaimResponse.status
use,ClaimResponse,token,ClaimResponse.use
assessor,ClinicalImpression,reference,ClinicalImpression.assessor
encounter,ClinicalImpression,reference,ClinicalImpression.encounter
finding-code,ClinicalImpression,token,ClinicalImpression.finding.itemCodeableConcept
finding-ref,ClinicalImpression,reference,ClinicalImpression.finding.itemReference
identifier,ClinicalImpression,token,ClinicalImpression.identifier
investigation,ClinicalImpression,reference,ClinicalImpression.investigation.item
previous,ClinicalImpression,reference,ClinicalImpression.previous
problem,ClinicalImpression,reference,ClinicalImpression.problem
status,ClinicalImpression,token,ClinicalImpression.status
subject,ClinicalImpression,reference,ClinicalImpression.subject
supporting-info,ClinicalImpression,reference,ClinicalImpression.supportingInfo
code,CodeSystem,token,CodeSystem.concept.code
content-mode,CodeSystem,token,CodeSystem.content
identifier,CodeSystem,token,CodeSystem.identifier
identifier,ConceptMap,token,ConceptMap.identifier
identifier,MessageDefinition,token,MessageDefinition.identifier
identifier,StructureDefinition,token,StructureDefinition.identifier
identifier,StructureMap,token,StructureMap.identifier
identifier,ValueSet,token,ValueSet.identifier
language,CodeSystem,token,CodeSystem.concept.designation.language
supplements,CodeSystem,reference,CodeSystem.supplements
system,CodeSystem,uri,CodeSystem.url
based-on,Communication,reference,Communication.basedOn
category,Communication,token,Communication.category
encounter,Communication,reference,Communication.encounter
identifier,Communication,token,Communication.identifier
instantiates-canonical,Communication,reference,Communication.instantiatesCanonical
instantiates-uri,Communication,uri,Communication.instantiatesUri
medium,Communication,token,Communication.medium
part-of,Communication,reference,Communication.partOf
patient,Communication,reference,Communication.subject.where(resolve() is Patient)
received,Communication,date,Communication.received
recipient,Communication,reference,Communication.recipient
sender,Communication,reference,Communication.sender
sent,Communication,date,Communication.sent
status,Communication,token,Communication.status
subject,Communication,reference,Communication.subject
authored,CommunicationRequest,date,CommunicationRequest.authoredOn
based-on,CommunicationRequest,reference,CommunicationRequest.basedOn
category,CommunicationRequest,token,CommunicationRequest.category
encounter,CommunicationRequest,reference,CommunicationRequest.encounter
group-identifier,CommunicationRequest,token,CommunicationRequest.groupIdentifier
identifier,CommunicationRequest,token,CommunicationRequest.identifier
medium,CommunicationRequest,token,CommunicationRequest.medium
occurrence,CommunicationRequest,date,
patient,CommunicationRequest,reference,CommunicationRequest.subject.where(resolve() is Patient)
priority,CommunicationRequest,token,CommunicationRequest.priority
recipient,CommunicationRequest,reference,CommunicationRequest.recipient
